Code,CountryCod,Name,Latitude,Longitude
RU13,RU,CENTRAL FOREST BR,56.4833,32.9667
LV01,LV,RUCAVA,56.2000,21.1167
LT01,LT,AUKSTAITIJA,55.4408,26.0736
RU04,RU,OKA-TERRACE BR,54.9000,37.8333
BY02,BY,BEREZINA BR,54.7333,28.3500
IE01,IE,BRACKLOON WOOD,53.7667,-9.5500
DE02,DE,NEUGLOBSOW,53.1333,13.0333
GB02,GB,AFON HAFREN,52.4833,-3.6833
IT12,IT,COLOGNOLE,43.5094,10.4386
IT11,IT,ROTI,43.2939,13.0733
RU03,RU,CAUCASUS BR,43.7000,40.2833
ES02,ES,BERTIZ,43.1500,-1.6167
IT09,IT,MONTE RUFENO,42.8306,11.9028
IT05,IT,SELVA PIANA,41.8475,13.5897
IT06,IT,PIANO LIMINA,38.4272,16.1797
IT03,IT,PASSO LAVAZE,46.3603,11.4950
IT10,IT,VAL MASINO,46.2378,9.5544
RU12,RU,ASTRAKHAN BR,46.0000,47.8333
IT04,IT,POMAROLO,45.9447,11.0578
IT13,IT,LA THUILE,45.7239,6.9319
IT07,IT,CARREGA,44.7500,10.2036
IT08,IT,BRASIMONE,44.1086,11.1167
UA01,UA,KARADAG,44.9000,35.2000
PL09,PL,Lysogory,50.8675,21.0508
PL08,PL,Kampinos,52.2853,20.5270
PL07,PL,Pojezierze Chelminskie,53.1222,18.6870
PL06,PL,Parsenta,53.7457,16.5251
PL05,PL,Wigry,54.0521,23.0271
PL01,PL,Puszcza Borecka,54.1233,22.0526
FI05,FI,VUOSKOJÄRVI,69.7344,26.9381
FI06,FI,PALLASJÄRVI,68.0333,24.1833
PL12,PL,Roztocze,50.5713,22.9875
PL11,PL,Wolin,53.9589,14.5229
PL10,PL,Beskidy,49.6518,21.0834
EE02,EE,SAAREJÄRVE,58.6500,26.7500
NO01,NO,BIRKENES,58.3833,8.2500
EE01,EE,VILSANDI,58.3833,21.8500
SE04,SE,GÅRDSJÖN F1,58.0500,12.0167
LV02,LV,ZOSENI (TAURENE),57.1667,25.6833
SE14,SE,ANEBODA,57.1167,14.5333
GB01,GB,ALLT'A MHARCAIDH,57.0833,-3.7000
LT03,LT,ZEMAITIJA,56.0283,21.8764
FI04,FI,PESOSJÄRVI,66.2867,29.4422
RU16,RU,VELIKIY ISLAND,66.6667,33.0000
SE16,SE,GAMMTRATTEN,63.8564,18.1006
FI03,FI,HIETAJÄRVI,63.1514,30.6792
NO02,NO,KÅRVATN,62.7833,8.8833
FI01,FI,VALKEA-KOTINEN,61.2367,25.0614
NO03,NO,LANGTJERN,60.0000,10.0000
SE15,SE,KINDLA,59.7500,14.9000
RU14,RU,VORONEZH BR,51.9000,39.6000
CZ02,CZ,LYSINA,50.0500,12.6667
CZ01,CZ,ANENSKE POVODI,49.5833,15.0833
DE01,DE,FORELLENBACH,48.9439,13.4175
AT01,AT,ZÖBELBODEN,47.8417,14.4417
IT01,IT,RENON-RITTEN,46.5875,11.4344
CH02,CH,LAGO NERO,46.4494,8.5394
IT02,IT,MONTICOLO-MONTIGGL,46.4264,11.2969
